"","Organism"
"1","L. saxatilis"
"2","L. littorea"
"3","L. obtusata"
"4","Nucella lapillus"
"5","Testudinalia testudinalis"
"6","Carcinus maenus"
"7","Anurida maritima"
"8","Mytilus edulis"
"9","Semibalanus balanoides"
"10","Modiolus modiolus"
"11","Isopods"
"12","Amphipods"
"13","Metridium senile"
"14","Haliplanella"
"15","Hiatella arctica"
"16","Strongylocentrotus"
"17","Ophiopholis"
"18","Nematodes"
"19","Annelid Worm"
"20","Spirorbis"
"21","Crepidula"
"22","Anomia simplex"
"23","Boreochiton ruber"
"24","A. vulgaris (= A. rubens)"
"25","Asterias forbesi"
"26","Lycastopsis"
"27","Idotea"
"28","Micrura affinis"
"29","Pagurus"
"30","Cancer irroratus"
"31","Cancer borealis"
"32","Halacarus (mite)"
"33","Hyale"
"34","Lacuna vincta"
"35","Lepidonotus"
"36","Nemertean"
"37","Nudibranch"
"38","Oligochaete"
"39","Polychaete"
"40","Flatworms"
"41","Hemigrapsus sanguineus"
"42","Henricia sanguinolenta"
"43","Asterias rubens"
"44","Diadumene lineata"
"45","Notes"
"46","Ccancer borealis"
